43.750053813,-79.462342744,Downsview
43.734580620,-79.449928713,Wilson
43.724813020,-79.447509462,Yorkdale
43.716381433,-79.444029153,Lawrence West
43.709819963,-79.441528421,Glencairn
43.698996649,-79.435989533,Eglinton West
43.684352034,-79.414535879,St Clair West
43.674909875,-79.407256672,Dupont
43.667714585,-79.403751969,Spadina
43.668318768,-79.398672286,St George
43.667177071,-79.393502230,Museum
43.659704948,-79.390349040,Queen's Park
43.654611638,-79.388295977,St Patrick
43.650874106,-79.386617316,Osgoode
43.647645649,-79.385130483,St Andrew
43.645722666,-79.380462258,Union
43.649120879,-79.378045133,King
43.652346514,-79.379326503,Queen
43.656136534,-79.380729654,Dundas
43.661229971,-79.382782166,College
43.665182941,-79.383770788,Wellesley
43.670671998,-79.385950091,Bloor
43.676900952,-79.388725888,Rosedale
43.682449998,-79.391178237,Summerhill
43.688162978,-79.393284347,St Clair
43.698123394,-79.397331412,Davisville
43.706645843,-79.399158462,Eglinton
43.725421915,-79.401877582,Lawrence
43.744995922,-79.405330677,York Mills
43.761674341,-79.410987148,Sheppard
43.769241254,-79.412911598,North York Centre
43.781490124,-79.415672606,Finch
