,n_estimators,max_depth,learning_rate,reg_alpha,r2_score,rmse,mae
0,100,3,0.1,0.0,0.09407355959277364,7.021862799921556,3.766961859854634
1,100,3,0.1,0.2,0.10518204834972078,6.978678897653882,3.7386673615592816
2,100,3,0.1,1.0,0.0960965638623843,7.014018234943742,3.753278676705681
3,100,3,1.0,0.0,-0.14133350186172655,7.8815594300558995,4.2835265224898915
4,100,3,1.0,0.2,-0.22487283401060698,8.164909460995581,4.270022767703989
5,100,3,1.0,1.0,-0.21533078732306965,8.1330439998572,4.318173277356042
6,100,3,2.0,0.0,-0.7993024967385038,9.895960730537377,4.736551261556674
7,100,3,2.0,0.2,-0.8523339521006008,10.040735240513714,4.5841468527498215
8,100,3,2.0,1.0,-0.7861129891522365,9.859623615332536,4.704817629468966
9,100,5,0.1,0.0,0.09755412727337598,7.008360826965588,3.6726107835216477
10,100,5,0.1,0.2,0.09158998215547776,7.031481353483991,3.6735494763281396
11,100,5,0.1,1.0,0.09175379448943077,7.03084733620033,3.6714115781739802
12,100,5,1.0,0.0,-0.21932734213054594,8.146405579357994,4.679082277600422
13,100,5,1.0,0.2,-0.2647644373532916,8.29680140407885,4.580268777420165
14,100,5,1.0,1.0,-0.26308273977515273,8.291283636672265,4.575332860179297
15,100,5,2.0,0.0,-0.9427227995259908,10.282797669776414,5.931943004989776
16,100,5,2.0,0.2,-1.3649212904448946,11.345253845353787,6.697501938790083
17,100,5,2.0,1.0,-1.5151213058507746,11.699985945178877,7.367716830655967
18,100,7,0.1,0.0,0.08212001845452188,7.068037110138117,3.6533651356077526
19,100,7,0.1,0.2,0.08729436081949549,7.0480867175916595,3.6426895285703744
20,100,7,0.1,1.0,0.10555100398575945,6.977240008113717,3.6312948177696103
21,100,7,1.0,0.0,-0.19259858889497328,8.056622549026669,4.58721844999124
22,100,7,1.0,0.2,-0.20395119892456814,8.094878110829807,4.740863591987908
23,100,7,1.0,1.0,-0.1847957427558713,8.030223159094959,4.524414408455004
24,100,7,2.0,0.0,-2.353044620361975,13.509072683718651,9.131893882280531
25,100,7,2.0,0.2,-2.3186646415345815,13.439637535907782,9.01068325872747
26,100,7,2.0,1.0,-1.5762075556029935,11.841215821166887,7.948781046716025
27,200,3,0.1,0.0,0.08344358629849968,7.062939275067338,3.706368758617587
28,200,3,0.1,0.2,0.09034333023093588,7.036304508349452,3.6969222585452406
29,200,3,0.1,1.0,0.08146237428169789,7.070568716237651,3.7002954227188622
30,200,3,1.0,0.0,-0.22471288171389503,8.164376328647581,4.596796948047843
31,200,3,1.0,0.2,-0.3089032026383218,8.440334083564885,4.5683017139098325
32,200,3,1.0,1.0,-0.25814522601172984,8.275062049538386,4.55645423062284
33,200,3,2.0,0.0,-0.7831018530728826,9.851309138065712,4.940121327710539
34,200,3,2.0,0.2,-1.0015680329267131,10.437369298426267,4.747640798166567
35,200,3,2.0,1.0,-0.8761770999411369,10.105150530820334,5.183874125097578
36,200,5,0.1,0.0,0.08781569373451936,7.0460735140539255,3.645387288589212
37,200,5,0.1,0.2,0.07638157652746813,7.090096816067306,3.6518930662812323
38,200,5,0.1,1.0,0.07312531162385727,7.102584072611477,3.6641059739130557
39,200,5,1.0,0.0,-0.23338256059126516,8.193222965698718,4.777116282334175
40,200,5,1.0,0.2,-0.3050358757298337,8.427855820213074,4.737796054975823
41,200,5,1.0,1.0,-0.2748301179770698,8.329751196255698,4.664809474439561
42,200,5,2.0,0.0,-1.1904029578400914,10.918623244187494,6.861244295060358
43,200,5,2.0,0.2,-1.7195413268101896,12.166165034024601,7.672986707844601
44,200,5,2.0,1.0,-2.086622141061422,12.961271429528997,8.657291816837066
45,200,7,0.1,0.0,0.05326387016895784,7.17827922132427,3.6567831056023974
46,200,7,0.1,0.2,0.07033414739220789,7.113270294047511,3.6242312244085593
47,200,7,0.1,1.0,0.09416570762402554,7.021505669773505,3.6312669363486516
48,200,7,1.0,0.0,-0.19619731336517976,8.06876901873922,4.61153498748339
49,200,7,1.0,0.2,-0.20468043678227144,8.09732928906963,4.739645083798981
50,200,7,1.0,1.0,-0.1834361642133273,8.025614409847117,4.517124908104358
51,200,7,2.0,0.0,-2.4306628387645,13.664536060234562,9.34807303349494
52,200,7,2.0,0.2,-2.403381545209746,13.610096099855072,9.164292687234704
53,200,7,2.0,1.0,-1.636842691085726,11.979756278120112,8.107873866041224
54,500,3,0.1,0.0,0.03609561555204721,7.243072791670896,3.7081637244213486
55,500,3,0.1,0.2,0.053779200468090815,7.176325303972462,3.6965058021368393
56,500,3,0.1,1.0,0.06690271333174858,7.1263858860538125,3.7023864324850715
57,500,3,1.0,0.0,-0.3259475434025052,8.495110717952384,5.016181462427078
58,500,3,1.0,0.2,-0.3846279790328062,8.681053315754987,4.876061138680222
59,500,3,1.0,1.0,-0.34550078459335865,8.557518557838268,4.9324718155399
60,500,3,2.0,0.0,-1.0062207670062437,10.449493321812062,5.764343180419259
61,500,3,2.0,0.2,-1.1741616819818979,10.878068533847097,5.507702526660191
62,500,3,2.0,1.0,-1.1908068254673316,10.919629788485798,6.11954108146808
63,500,5,0.1,0.0,0.05370646568184567,7.176601116159686,3.6875775819449856
64,500,5,0.1,0.2,0.055696195892024014,7.169052182529833,3.669611875460485
65,500,5,0.1,1.0,0.027461764002484124,7.2754391780329,3.7181329828127354
66,500,5,1.0,0.0,-0.23625711159784468,8.202765070242664,4.785950154421004
67,500,5,1.0,0.2,-0.31288788036609416,8.453171722619894,4.751719959819497
68,500,5,1.0,1.0,-0.27393563884005045,8.326828416204934,4.6800855479722845
69,500,5,2.0,0.0,-1.6321745032476707,11.969147278554026,7.929210088494517
70,500,5,2.0,0.2,-2.2137358664560915,13.22546534307185,8.909717579184234
71,500,5,2.0,1.0,-2.5278841516711723,13.856802582706186,9.621103836621078
72,500,7,0.1,0.0,0.013719054902464278,7.326662616255667,3.7349044673594274
73,500,7,0.1,0.2,0.03674107819630135,7.240647283544461,3.6978477792784124
74,500,7,0.1,1.0,0.05912333505407996,7.15603112291129,3.726982461673201
75,500,7,1.0,0.0,-0.1959194149840977,8.06783170343624,4.611467507213253
76,500,7,1.0,0.2,-0.20472655196994372,8.097484270538136,4.739660390232433
77,500,7,1.0,1.0,-0.18330142518595127,8.025157522397864,4.516540748248846
78,500,7,2.0,0.0,-2.436017498341625,13.67519586762853,9.377973622695263
79,500,7,2.0,0.2,-2.403333556932633,13.610000147144978,9.16309754537708
80,500,7,2.0,1.0,-1.6364320967342811,11.978823531586958,8.106802391851259
